cpf,nome,produto,historico_meses,ultimo_movimento_dias,valor_total_compras,numero_transacoes,ticket_medio,inadimplente
123.456.789-01,João Silva,CARTAO,12,30,5000.00,25,200.00,0
234.567.890-12,Maria Santos,EMPRESTIMO_PESSOAL,6,45,3000.00,10,300.00,0
345.678.901-23,Pedro Oliveira,CARNE,2,15,1500.00,5,300.00,0
456.789.012-34,Ana Costa,CARTAO,18,250,8000.00,40,200.00,1
567.890.123-45,Carlos Souza,EMPRESTIMO_PESSOAL,24,60,12000.00,30,400.00,0
678.901.234-56,Juliana Lima,CARNE,9,300,2500.00,15,166.67,0
789.012.345-67,Roberto Alves,CARTAO,15,90,6000.00,20,300.00,0
890.123.456-78,Fernanda Rocha,EMPRESTIMO_PESSOAL,1,10,500.00,2,250.00,0
901.234.567-89,Lucas Martins,CARNE,36,120,15000.00,50,300.00,0
012.345.678-90,Patricia Gomes,CARTAO,8,180,4000.00,18,222.22,1
